,conm,gvkey,add1,add2,add3,add4,addzip,busdesc,cik,city,conml,costat,county,dlrsn,ein,fax,fic,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
677,ARTELO BIOSCIENCES INC,026356,"505 Lomas Santa Fe, Suite 160",,,,92075,"Artelo Biosciences, Inc., a clinical stage biopharmaceutical company, focuses on developing and commercializing treatments to modulate the endocannabinoid system.",0001621221,Solana Beach,Artelo Biosciences Inc,A,,,33-1220924,,USA,8.0,3520,352020,35,35202010,D,NV,USA,325412,858 925 7049,,,01,2834,,,,CA,0.0,www.artelobio.com,,2019-06-21
678,APELLIS PHARMACEUTICALS,026359,100 Fifth Avenue,,,,02451,"Apellis Pharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of therapeutic compounds through the inhibition of the complement system for autoimmune and inflammatory diseases.",0001492422,Waltham,Apellis Pharmaceuticals Inc,A,,,27-1537290,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,617 977 5700,,,01,2834,,,,MA,0.0,www.apellis.com,,2017-11-09
679,BEIGENE LTD,026376,"55 Cambridge Parkway, Suite 700W",,,,02142,"BeiGene, Ltd., a biotechnology company, focuses on discovering, developing, manufacturing, and commercializing various medicines worldwide.",0001651308,Cambridge,BeiGene Ltd,A,,,98-1209416,,CYM,12.0,3520,352010,35,35201010,B,,USA,325414,781-801-1800,,,90,2836,,,,MA,0.0,www.beigene.com,,2016-02-03
680,INPELLIS INC -REDH,026519,"30 Washington Avenue, Suite F",,,,08033,"Inpellis, Inc. is a specialty pharmaceutical company that focuses on developing and commercializing transdermal prescription therapeutics for treating acute and chronic pain resulting from musculoskeletal disorders and peripheral neuropathy.",0001638851,Haddonfield,Inpellis Inc,I,,10,45-4772185,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,978-750-0900,,,01,2834,,,,NJ,0.0,,2017-03-18,
681,EXAGEN INC,026528,1261 Liberty Way,,,,92081,Exagen Inc. develops and commercializes various testing products based on its cell-bound complement activation products technology under the AVISE brand in the United States.,0001274737,Vista,Exagen Inc,A,,,20-0434866,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325413,760 560 1501,,,01,2835,,,,CA,0.0,www.exagen.com,,2019-09-19
682,QSAM BIOSCIENCES INC,026555,"Plaza 1, Suite 500, 9442 Capital of Texas Hwy N",,,,78759,"QSAM Biosciences, Inc. engages in developing various nuclear medicines for the treatment of cancer and related diseases. The company is involved in the development of CycloSam (Samaium-153 DOTMP), a clinical-stage bone targeting radiopharmaceutical.",0001310527,Austin,QSAM Biosciences Inc,A,,,,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,512 343 4558,,,01,2835,,,,TX,3.0,qsambio.com,,
683,ADVANTIS CORP,026571,"1048 Irvine Avenue, Suite #900",,,,92660,"Advantis Corp. develops and markets products focusing on medical cannabis, research, and pharmaceutical sectors. The company offers pain management and healthcare solutions. Advantis Corp. was formerly known as Ramoil Management, Ltd. and changed its name to Advantis Corp. in December 2015.",,Newport Beach,Advantis Corp,A,,,,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,949-354-3585,,,01,2834,,,,CA,3.0,www.advantiscorp.com,,
684,BONE BIOLOGICS CORP,026579,"2 Burlington Woods Drive, Suite 100",,,,01803,"Bone Biologics Corporation, a medical device company, focuses on bone regeneration in spinal fusion using the recombinant human protein.",0001419554,Burlington,Bone Biologics Corp,A,,,,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,781 552 4452,,,01,2836,,,,MA,0.0,www.bonebiologics.com,,2021-10-13
685,ONCOCYTE CORP,026669,15 Cushing,,,,92618,"OncoCyte Corporation, a molecular diagnostics company, researches, develops, and commercializes proprietary laboratory-developed tests for the detection of cancer in the United States and internationally.",0001642380,Irvine,OncoCyte Corp,A,,,27-1041563,,USA,12.0,3520,352010,35,35201010,D,CA,USA,325414,949 409 7600,,,01,2836,,,,CA,0.0,oncocyte.com,,
686,CANCER PREVENTN PHARMA -REDH,026726,"1760 East River Road, Suite 250",,,,85718,"Cancer Prevention Pharmaceuticals, Inc., a private clinical stage company, develops and markets therapeutic agents to reduce the risk and recurrence of cancer and rare diseases.",0001471002,Tucson,Cancer Prevention Pharmaceuticals Inc,I,,10,27-3037551,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,520 908 7774,,,01,2834,,,,AZ,0.0,www.canprevent.com,2016-11-02,
687,SHEFFIELD PHARMACEUTICALS,026747,3985 Research Park Drive,,,,48108,"Pipex Pharmaceuticals, Inc., a development stage specialty pharmaceutical company, engages in the development of proprietary late-stage drug candidates for the treatment of neurologic and fibrotic diseases.",,Ann Arbor,Sheffield Pharmaceuticals Inc.,I,,02,,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,734-332-7800,01C,,01,2834,285.0,905.0,,MI,0.0,,2003-06-06,
688,PROTEOSTASIS THERAPEUTICS,026755,"80 Guest Street, Suite 500",,,,02135,"As of December 22, 2020, Proteostasis Therapeutics, Inc. was acquired by Yumanity Therapeutics Inc., in a reverse merger transaction.",,Boston,Proteostasis Therapeutics Inc,I,,04,20-8436652,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617 225 0096,,,01,2836,,,,MA,0.0,www.proteostasis.com,2020-12-23,2016-02-11
689,LATTICE BIOLOGICS LTD,026767,"512 East Madison Avenue, Suite 101",,,,59714,"Lattice Biologics Ltd., a biotech company, develops, manufactures, and markets biologic products for use in the field of bone regeneration in dental, spine, and general orthopedic indications worldwide. It develops novel amniotic fluid-based products, such as AmnioBoost and AmnioBlast.",0001031020,Belgrade,Lattice Biologics Ltd,A,,,,480 739 2199,CAN,9.0,3520,352010,35,35201010,D,,USA,325414,406 570 2658,01C,,01,2836,,,,MT,3.0,www.latticebiologics.com,,
690,VISTERRA INC -REDH,026789,"275 2nd Avenue, Suite B3301",,,,02451,"Visterra, Inc., a clinical-stage biopharmaceutical company, develops precision antibody-based biological medicines for hard-to-treat diseases using our Hierotope platform.",0001426375,Waltham,Visterra Inc,I,,10,32-0225675,617 498 1073,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617 498 1070,,,01,2836,,,,MA,0.0,www.visterrainc.com,2017-02-10,
691,SPRING BANK PHARMACEUTICALS,026790,"35 Parkwood Drive, Suite 210",,,,01748,"As of November 20, 2020, Spring Bank Pharmaceuticals, Inc. was acquired by F-star Therapeutics Limited, in a reverse merger transaction.",,Hopkinton,Spring Bank Pharmaceuticals Inc,A,,,52-2386345,508 422 0951,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,508 473 5993,,,01,2836,,,,MA,0.0,www.springbankpharm.com,,2016-05-06
692,CLEARSIDE BIOMEDICAL INC,026798,"900 North Point Parkway, Suite 200",,,,30005,"Clearside Biomedical, Inc., a biopharmaceutical company, focuses on the revolutionizing the delivery of therapies to the back of the eye through the suprachoroidal space.",0001539029,Alpharetta,Clearside Biomedical Inc,A,,,45-2437375,678 270 4033,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,678 270 3631,,,01,2834,,,,GA,0.0,www.clearsidebio.com,,2016-06-02
693,DIFFUSION PHARMACEUTICALS,026809,"300 East Main Street, Suite 201",,,,22902,"Diffusion Pharmaceuticals Inc., a biopharmaceutical company, develops novel therapies that enhance the body's ability to deliver oxygen. Its lead product candidate is Trans Sodium Crocetinate that is developed to enhance the diffusion of oxygen to tissues, as well as to treat COVID-19 disease.",0001053691,Charlottesville,Diffusion Pharmaceuticals Inc,A,,,30-0645032,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,434 220 0718,,,01,2836,,,,VA,0.0,www.diffusionpharma.com,,
694,OUTLOOK THERAPEUTICS INC,026817,"Building F, Suite 320, 485 Route 1 South",,,,08852,"Outlook Therapeutics, Inc., a late clinical-stage biopharmaceutical company, focuses on developing and commercializing monoclonal antibodies for various ophthalmic indications.",0001649989,Iselin,Outlook Therapeutics Inc,A,,,38-3982704,,USA,9.0,3520,352010,35,35201010,D,DE,USA,325414,609 619 3990,,,02,2836,,,,NJ,0.0,www.outlooktherapeutics.com,,2016-05-13
695,AVEXIS INC,026818,"2275 Half Day Road, Suite 200",,,,60015,"Novartis Gene Therapies, Inc., a gene therapy biotech company, develops treatments for rare and life-threatening genetic diseases.",0001652923,Bannockburn,AveXis Inc,I,,01,90-1038273,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,847 572 8280,,,01,2836,,,,IL,0.0,www.novartis.com,2018-05-16,2016-02-11
696,MOLECULIN BIOTECH INC,026873,"5300 Memorial Drive, Suite 950",,,,77007,"Moleculin Biotech, Inc., a clinical-stage pharmaceutical company, focuses on the development of drug candidates for the treatment of highly resistant tumors and viruses.",0001659617,Houston,Moleculin Biotech Inc,A,,,47-4671997,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,713 300 5160,,,01,2836,,,,TX,0.0,www.moleculin.com,,2016-06-02
697,EDITAS MEDICINE INC,026874,11 Hurley Street,,,,02141,"Editas Medicine, Inc., a clinical stage genome editing company, focuses on developing transformative genomic medicines to treat a range of serious diseases. It develops a proprietary gene editing platform based on CRISPR technology.",0001650664,Cambridge,Editas Medicine Inc,A,,,46-4097528,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617 401 9000,,,01,2836,,,,MA,0.0,www.editasmedicine.com,,2016-02-03
698,REATA PHARMACEUTICALS INC,026892,5320 Legacy Drive,,,,75024,"Reata Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, identifies, develops, and commercializes novel therapeutics for patients with serious or life-threatening diseases.",0001358762,Plano,Reata Pharmaceuticals Inc,A,,,11-3651945,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325414,972 865 2219,,,01,2836,,,,TX,0.0,www.reatapharma.com,,2016-05-26
699,CORVUS PHARMACEUTICALS INC,026895,"863 Mitten Road, Suite 102",,,,94010,"Corvus Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of immuno-oncology therapies.",0001626971,Burlingame,Corvus Pharmaceuticals Inc,A,,,46-4670809,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 900 4520,,,01,2836,,,,CA,0.0,www.corvuspharma.com,,2016-03-23
700,AUTOIMMUNE INC,026898,1199 Madia Street,,,,91103,"AutoImmune Inc. went out of business. AutoImmune Inc., a biopharmaceutical company, develops products for the treatment of autoimmune and cell-mediated inflammatory diseases and conditions.",0000879106,Pasadena,AutoImmune Inc,I,,03,13-3489062,626-792-1236,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,626-792-1235,,,01,2836,147.0,905.0,C,CA,3.0,,2013-12-16,1993-01-20
701,PML INC,026909,1155 South Main Street,,,,80501,"Develops, makes, and distributes a wide array of biological products which are used to test for and diagnose various conditions, illnesses and contaminants. PMLI markets its products primarily in the United States and Canada.",0000890448,Longmont,Pml Inc,I,,07,93-1089304,303-772-3783,USA,5.0,3520,352010,35,35201010,D,DE,USA,325412,303-772-5934,,,01,2834,285.0,905.0,,CO,3.0,,2003-08-06,
702,PROTAGENIC THERAPEUTICS INC,026922,"149 Fifth Avenue, Suite 500",,,,10010,"Protagenic Therapeutics, Inc., a biopharmaceutical company, engages in the discovery and development of therapeutics to treat stress-related neuropsychiatric and mood disorders.",0001022899,New York,Protagenic Therapeutics Inc,A,,,06-1390025,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,212 994 8200,,,01,2836,,,,NY,0.0,www.protagenic.com,,
703,EIGER BIOPHARMACEUTICALS INC,027046,2155 Park Boulevard,,,,94306,"Eiger BioPharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on the development and commercialization of targeted therapies for rare and ultra-rare diseases in the United States and internationally.",0001305253,Palo Alto,Eiger BioPharmaceuticals Inc,A,,,33-0971591,650 618 1621,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650 272 6138,,,01,2836,,,,CA,0.0,www.eigerbio.com,,
704,INTELLIA THERAPEUTICS INC,027155,"40 Erie Street, Suite 130",,,,02139,"Intellia Therapeutics, Inc., a genome editing company, focuses on the development of therapeutics.",0001652130,Cambridge,Intellia Therapeutics Inc,A,,,36-4785571,,USA,12.0,3520,352010,35,35201010,B,DE,USA,325414,857 285 6200,,,01,2836,,,,MA,0.0,www.intelliatx.com,,2016-05-06
705,PHASERX INC,027198,"410 West Harrison Street, Suite 300",,,,98119,"PhaseRx, Inc., a biopharmaceutical company, engages in developing a portfolio of products for the treatment of inherited enzyme deficiencies in the liver using intracellular enzyme replacement therapy.",0001429386,Seattle,PhaseRx Inc,A,,,20-4690620,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,206-805-6300,,,01,2836,,,D,WA,3.0,,,2016-05-18
706,GEMPHIRE THERAPEUTICS INC,027201,"17199 North Laurel Park Drive, Suite 401",,,,48152,"As of December 30, 2019, Gemphire Therapeutics Inc. was acquired by NeuroBo Pharmaceuticals, Inc., in a reverse merger transaction.",,Livonia,Gemphire Therapeutics Inc,I,,04,47-2389984,734-293-0444,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,734-245-1700,,,01,2836,,,,MI,0.0,www.gemphire.com,2019-12-31,2016-08-05
707,PERFORMANCE HEALTH HLD -REDH,027218,1245 Home Avenue,,,,44310,"Performance Health Holdings Corp. manufactures and markets branded healthcare, pain management, and fitness products for rehabilitation, therapy, and professional wellness markets.",0001612047,Akron,Performance Health Holdings Corp,I,,10,80-0856022,,USA,4.0,3520,352030,35,35203010,D,DE,USA,325412,330-633-8460,,,01,2834,,,,OH,0.0,www.performancehealth.com,2016-07-01,
708,CURE PHARMACEUTICAL HLDG COR,027277,1620 Beacon Place,,,,93033,"CURE Pharmaceutical Holding Corp., together with its subsidiaries, operates as a technology focused vertically integrated drug delivery and product development company in the pharmaceutical, and health and wellness markets.",0001643301,Oxnard,Cure Pharmaceutical Holding Corp,A,,,,805 487 7163,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,805 824 0410,,,01,2834,,,,CA,3.0,www.curepharmaceutical.com,,
709,APTEVO THERAPEUTICS INC,027338,"2401 4th Avenue, Suite 1050",,,,98121,"Aptevo Therapeutics Inc., a clinical-stage biotechnology company, focuses on developing immunotherapeutic candidates for the treatment of various forms of cancer in the United States.",0001671584,Seattle,Aptevo Therapeutics Inc,A,,,81-1567056,206 838 0503,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,206 838 0500,,,01,2836,,,,WA,0.0,www.aptevotherapeutics.com,,
710,SELECTA BIOSCIENCES INC,027354,65 Grove Street,,,,02472,"Selecta Biosciences, Inc., a clinical-stage biopharmaceutical company, engages in the research and development of nanoparticle immunomodulatory drugs for the treatment and prevention of human diseases.",0001453687,Watertown,Selecta Biosciences Inc,A,,,26-1622110,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617 923 1400,,,01,2836,,,,MA,0.0,selectabio.com,,2016-06-22
711,SYROS PHARMACEUTICALS INC,027392,"35 CambridgePark Drive, 4th Floor",,,,02140,"Syros Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the development of treatments for cancer and monogenic diseases, and building a pipeline of gene control medicines.",0001556263,Cambridge,Syros Pharmaceuticals Inc,A,,,45-3772460,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617 744 1340,,,01,2836,,,,MA,0.0,www.syros.com,,2016-06-30
712,KADMON HOLDINGS INC,027476,450 East 29th Street,,,,10016,"Kadmon Holdings, Inc., a biopharmaceutical company, discovers, develops, and commercializes small molecules and biologics primarily for the treatment of inflammatory and fibrotic diseases.",0001557142,New York,Kadmon Holdings Inc,I,,01,27-3576929,646 666 7978,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,833 900 5366,,,01,2836,,,,NY,0.0,www.kadmon.com,2021-11-10,2016-07-27
713,GLOBESTAR THERAPEUTICS CORP,027582,719 Jadewin Avenue,,,,99352,"GlobeStar Therapeutics Corporation, a clinical stage pharmaceutical company, focuses on developing a patented formulation of drugs for the treatment of multiple sclerosis and other neurodegenerative diseases. The company was formerly known as AngioSoma, Inc.",0001502152,Richland,GlobeStar Therapeutics Corp,A,,,27-3480481,,USA,9.0,3520,352010,35,35201010,D,WY,USA,325414,206 451 1970,,,01,2836,,,,WA,3.0,www.globestarthera.com,,
714,ACRO BIOMEDICAL CO LTD,027584,"12175 Visionary Way, Suite 1160",,,,46038,"Acro Biomedical Co., Ltd. engages in developing and marketing of nutritional products. It sells cordycepin and cordyceps powder, a fungus used in traditional Chinese medicine. The company was formerly known as Killer Waves Hawaii, Inc. and changed its name to Acro Biomedical Co., Ltd.",0001622996,Fishers,Acro Biomedical Co Ltd,A,,,47-1950356,,USA,12.0,3510,351020,35,35102010,D,NV,USA,325412,317 286 6788,,,01,2834,,,,IN,3.0,acrobiomedicalco.com,,
715,AUDENTES THERAPEUTICS INC,027669,"600 California Street, 17th Floor",,,,94108,"Audentes Therapeutics, Inc., a clinical stage biotechnology company, focuses on developing and commercializing gene therapy products for patients living with serious, life-threatening rare diseases caused by single gene defects.",0001628738,San Francisco,Audentes Therapeutics Inc,I,,01,46-1606174,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,415 818 1001,,,01,2836,,,,CA,0.0,www.audentestx.com,2020-01-16,2016-07-20
716,PROTAGONIST THERAPEUTICS INC,027670,"7707 Gateway Boulevard, Suite 140",,,,94560,"Protagonist Therapeutics, Inc., a biopharmaceutical company, discovers and develops peptide-based therapeutic drugs to address hematology and blood disorders, and inflammatory and immunomodulatory diseases.",0001377121,Newark,Protagonist Therapeutics Inc,A,,,98-0505495,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,510 474 0170,,,01,2836,,,,CA,0.0,www.protagonist-inc.com,,2016-08-11
717,FIRST WAVE BIOPHARMA INC,027699,"777 Yamato Road, Suite 502",,,,33431,"First Wave BioPharma, Inc., a clinical-stage biopharmaceutical company, engages in the research and development of targeted and non-systemic therapies for the treatment of patients with gastrointestinal diseases.",0001604191,Boca Raton,First Wave BioPharma Inc,A,,,46-4993860,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,561 589 7020,,,01,2836,,,,FL,0.0,www.firstwavebio.com,,2016-10-11
718,MADRIGAL PHARMACEUTICALS INC,027716,"Four Tower Bridge, Suite 200, 200 Barr Harbor Drive",,,,19428,"Madrigal Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the development and commercialization of therapeutic candidates for the treatment of cardiovascular, metabolic, and liver diseases.",0001157601,West Conshohocken,Madrigal Pharmaceuticals Inc,A,,,04-3508648,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,267 824 2827,,,01,2834,,,C,PA,0.0,www.madrigalpharma.com,,
719,CELL GENESYS INC,027747,"400 Oyster Point Boulevard, Suite 525",,,,94080,"As of October 14, 2009, Cell Genesys, Inc. was acquired by BioSante Pharmaceuticals, Inc. Cell Genesys, Inc. does not have significant operations.",0000865231,South San Francisco,Cell Genesys Inc,I,,01,94-3061375,650-266-3010,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650-266-3000,,,01,2836,147.0,905.0,C,CA,0.0,,2009-10-15,1993-01-26
720,BIOSURFACE TECHNOLOGY INC,027751,64 SIDNEY STREET,,,,02139,Engages in the development of engineered tissues grown from human cells for medical applications. Products include epidermal skin grafts used to provide potentially life-saving permanent skin replacement for severe burn victims; and wound dressings.,0000875475,CAMBRIDGE,Biosurface Technology Inc,I,Middlesex,01,04-2922392,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,617-494-8484,,,01,2836,147.0,905.0,,MA,0.0,,1994-12-31,1993-01-27
721,SHAMAN PHARMACEUTICALS INC,027756,213 East Grand Avenue,,,,94080,"As of August 18, 2005, Shaman Pharmaceuticals, Inc. went out of business as per its Chapter 7 liquidation filing under bankruptcy. Shaman Pharmaceuticals Inc.",0000891933,South San Francisco,Shaman Pharmaceuticals Inc,I,,07,94-3095806,650-873-8367,USA,12.0,3520,352010,35,35201010,D,DE,USA,325412,650-952-7070,,,01,2834,285.0,905.0,,CA,3.0,,2004-08-16,1993-01-26
722,COCENSYS INC,027761,213 Technology Drive,,,,92618,"Discovers and develops drugs to treat neurological and psychiatric disorders. Product development and discovery programs are focused on three separate and distinct technology platforms: Epalons, glutamate antagonists, and sodium channel blockers.",0000895034,Irvine,Cocensys Inc,I,,01,33-0538836,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,949-753-6100,,,01,2834,285.0,905.0,,CA,0.0,,1999-10-01,1993-01-29
723,CAPSTONE THERAPEUTICS CORP,027765,"1275 West Washington Street, Suite 104",,,,85281,"Capstone Therapeutics Corp., a biotechnology company, develops novel peptides and other molecules for helping patients with under-served medical conditions in the United States.",0000887151,Tempe,Capstone Therapeutics Corp,A,,,86-0585310,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,602-286-5520,,,01,2836,300.0,905.0,C,AZ,3.0,www.capstonethx.com,,1993-01-28
724,HEMAGEN DIAGNOSTICS INC,027784,9033 Red Branch Road,,,,21045,"Hemagen Diagnostics, Inc., a biotechnology company, provides human and veterinary clinical diagnostic solutions worldwide.",0000892822,Columbia,Hemagen Diagnostics Inc,A,,,04-2869857,443-367-5527,USA,9.0,3510,351010,35,35101010,D,DE,USA,325413,443-367-5500,,,01,2835,147.0,905.0,C,MD,3.0,www.hemagen.com,,1993-02-04
725,CATALYTICA INC,027793,430 Ferguson Drive,,,,94043,Develops and offers advanced products that use Catalytica's proprietary catalytic technologies to yield economic and environmental benefits by lowering manufacturing costs and reducing hazardous by-products.,,Mountain View,Catalytica Inc,I,,01,94-2262240,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,650-960-3000,,,01,2834,285.0,905.0,,CA,0.0,,2000-12-18,1993-02-08
726,HEALTHSPORT INC,027795,"10130 Mallard Creek Road, Suite 331",,,,28262,"HealthSport, Inc., a technology company, engages in the development and manufacture of proprietary, oral thin film products containing nutraceutical and pharmaceutical actives in the United States.",0000777516,Charlotte,HealthSport Inc,I,,10,22-2649848,,USA,12.0,3030,303020,30,30302010,D,DE,USA,325412,866-225-7548,,,01,2834,,,,NC,3.0,www.healthsportinc.com,2013-01-03,
727,INTERPHARM HOLDINGS INC,027825,75 Adams Avenue,,,,11788,"Interpharm Holdings, Inc. develops, manufactures, and markets generic prescription strength and over-the-counter pharmaceuticals. The company supplies its medicines to major retailers, wholesalers, managed care organizations, and national distributors.",0000893970,Hauppauge,Interpharm Holdings Inc.,A,,,13-3673965,631 952 9587,USA,6.0,3520,352020,35,35202010,D,DE,USA,325412,631 952 0214,,,01,2834,190.0,940.0,C,NY,3.0,,,1993-02-12
728,RASNA THERAPEUTICS INC,027835,"420 Lexington Avenue, Suite 2525",,,,10170,"Rasna Therapeutics, Inc., a leukemia-focused biotechnology company, engages in developing therapeutics for the treatment of acute myeloid leukemia (AML) and other forms of leukemia and lymphoma.",0001582249,New York,Rasna Therapeutics Inc,A,,,,,USA,12.0,3520,352010,35,35201010,D,,USA,325414,646 396 4087,,,01,2836,,,,NY,3.0,www.rasna.com,,
729,GENENTECH INC-PRO FORMA,143216,1 Dna Way,,,,94080-4918,,,South San Francisco,Genentech Inc-Pro Forma,I,San Mateo,10,,,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,650-225-1000,,,01,2836,147.0,905.0,,CA,3.0,www.gene.com,2003-05-07,
730,THAR PHARMACEUTICALS -REDH,027872,150 Gamma Drive,,,,15238,"Thar Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, focuses on developing and commercializing a pipeline of oral therapies for serious and life threatening conditions.",0001428369,Pittsburgh,Thar Pharmaceuticals Inc,I,,10,42-1699306,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325414,412-963-6800,,,01,2836,,,,PA,0.0,www.tharpharma.com,2016-11-16,
731,STATSURE DIAGNOSTIC SYSTEMS,027896,1222 Avenue M,,,,11230,"StatSure Diagnostic Systems, Inc. develops, manufactures, and markets rapid in-vitro assays for use in the detection of infectious diseases and other conditions in the United States and internationally.",0000885534,Brooklyn,StatSure Diagnostic Systems Inc,I,,07,91-1549305,,USA,12.0,3510,351010,35,35101020,D,DE,USA,325413,347-394-3641,,,02,2835,147.0,905.0,,NY,3.0,www.statsurediagnostics.com,2004-02-16,1993-03-03
732,NOVAN INC,027905,"4020 Stirrup Creek Drive, Suite 110",,,,27703,"Novan, Inc., a pre-commercial nitric oxide-based pharmaceutical company, focuses on dermatology and anti-infective therapies.",0001467154,Durham,Novan Inc,A,,,20-4427682,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,919 485 8080,,,01,2834,,,,CA,0.0,www.novan.com,,2016-09-21
733,RELIV INTERNATIONAL INC,027906,136 Chesterfield Industrial Boulevard,,,,63005,"Reliv' International, Inc. develops and markets nutritional supplements that address basic nutrition, specific wellness needs, weight management, and sports nutrition.",0000768710,Chesterfield,Reliv International Inc,A,,,37-1172197,636 537 9753,USA,12.0,3030,303020,30,30302010,D,DE,USA,325412,636 537 9715,,,01,2834,285.0,905.0,C,MO,3.0,www.reliv.com,,
734,VICAL INC,027920,10390 Pacific Center Court,,,,92121,"As of August 31, 2019, Vical Incorporated was acquired by Brickell Biotech, Inc., in a reverse merger transaction.",,San Diego,Vical Inc,I,,04,93-0948554,858-646-1150,USA,12.0,3520,352010,35,35201010,D,DE,USA,325414,858-646-1100,,,01,2836,147.0,905.0,C,CA,0.0,www.vical.com,2019-09-03,1993-03-09
735,ENCHIRA BIOTECHNOLOGY CORP,027927,4200 Research Forest Drive,,,,77381,"Operates a drug discovery and development company that is engaged in development of therapeutic proteins to inhibit receptor tyrosine kinases (RTKs) and their role in certain types of cancer. Shareholders approved a plan of complete liquidation and dissolution on Jan. 14, 2003.",0000895677,The Woodlands,Enchira Biotechnology Corp,I,,10,04-3078857,,USA,12.0,3520,352010,35,35201010,D,DE,USA,541710,281-419-7000,,,01,8731,292.0,905.0,,TX,0.0,,2003-01-21,1993-03-12
736,TENAX THERAPEUTICS INC,027939,"ONE Copley Parkway, Suite 490",,,,27560,"Tenax Therapeutics, Inc., a specialty pharmaceutical company, engages in identifying, developing, and commercializing products for cardiovascular and pulmonary diseases in the United States and Canada.",0000034956,Morrisville,Tenax Therapeutics Inc,A,,,26-2593535,,USA,12.0,3520,352010,35,35201010,B,DE,USA,325414,919 855 2100,,,01,2836,,,C,NC,0.0,www.tenaxthera.com,,
737,ARTEMIS THERAPEUTICS INC,027946,"18 East 16th Street, Suite 307",,,,10003,"Artemis Therapeutics Inc. does not have significant operations. Previously, it was involved in the development of agents for the prevention and treatment of severe and life-threatening infectious diseases. The company is based in New York, New York. Artemis Therapeutics Inc.",0001062128,New York,Artemis Therapeutics Inc,A,,,84-1417774,,USA,12.0,3520,352020,35,35202010,D,DE,USA,325414,646 233 1454,,,01,2836,,,,NY,3.0,www.artemis-therapeutics.com,,
738,MCGAW INC  -CL A,027964,2525 McGaw Avenue,,,,92714,"Engages in the making and selling of a broad line of basic and specialty intravenous solutions, irrigation solutions, administration sets, infusion pumps and other infusion supplies and equipment.",0000883498,Irvine,McGaw Inc,I,,01,33-0430760,949-660-2200,USA,12.0,3520,352020,35,35202010,D,DE,USA,325412,714-660-2000,,,01,2834,285.0,905.0,,CA,0.0,,1994-03-31,1993-03-19
