,gvkey,conm,datadate1,datadate2,cik,source,coname,fndate,lndate,n10k,n10k_nt,n10k_a,n10q,n10q_nt,n10q_a,ndef,n8k,ntot,flag
310,021826,GREAT BASIN SCIENTIFIC INC,2012-12-31,2016-12-31,0001512138,COMPN,"GREAT BASIN SCIENTIFIC, INC.",2011-02-04,2020-04-24,4.0,0.0,1.0,12.0,2.0,2.0,16.0,152.0,437.0,3.0
311,021841,COHERUS BIOSCIENCES INC,2012-12-31,2023-12-31,0001512762,COMPN,"COHERUS BIOSCIENCES, INC.",2011-02-23,2024-06-05,10.0,0.0,0.0,30.0,0.0,1.0,22.0,166.0,791.0,3.0
312,021901,FIBROGEN INC,2012-12-31,2023-12-31,0000921299,COMPN,FIBROGEN INC,2002-08-14,2024-06-06,11.0,0.0,1.0,29.0,0.0,1.0,21.0,141.0,1062.0,3.0
313,021998,NEOTHETICS INC,2012-12-31,2017-12-31,,NOLNK,,,,,,,,,,,,,0.0
314,022035,CORBUS PHARMACEUTICALS HLDGS,2013-12-31,2023-12-31,0001595097,COMPN,"CORBUS PHARMACEUTICALS HOLDINGS, INC.",2014-01-10,2024-06-03,11.0,0.0,1.0,30.0,0.0,1.0,20.0,147.0,654.0,3.0
315,022039,SYNEOS HEALTH INC,2012-12-31,2022-12-31,0001610950,COMPN,"SYNEOS HEALTH, INC.",2014-07-17,2023-10-10,13.0,1.0,3.0,27.0,0.0,1.0,47.0,126.0,874.0,3.0
316,022230,JUNO THERAPEUTICS INC,2013-12-31,2017-12-31,0001594864,COMPN,"JUNO THERAPEUTICS, INC.",2013-12-26,2019-02-14,4.0,0.0,0.0,10.0,0.0,1.0,7.0,46.0,414.0,3.0
317,022250,SICOR INC,1989-12-31,2002-12-31,0000807873,COMPN,SICOR INC,1995-02-08,2005-04-11,11.0,0.0,4.0,27.0,0.0,3.0,11.0,13.0,179.0,3.0
318,022258,BELLICUM PHARMACEUTICALS INC,2012-12-31,2022-12-31,0001358403,COMPN,"BELLICUM PHARMACEUTICALS, INC",2006-03-23,2024-03-01,10.0,0.0,1.0,28.0,0.0,1.0,21.0,123.0,612.0,3.0
319,022387,TILRAY BRANDS INC,2015-05-31,2023-05-31,0001731348,COMPN,"TILRAY BRANDS, INC.",2018-02-20,2024-06-03,9.0,0.0,3.0,18.0,0.0,0.0,84.0,132.0,629.0,3.0
320,022507,ENCORIUM GROUP INC,1996-12-31,2010-12-31,0000856569,COMPN,ENCORIUM GROUP INC,1996-05-24,2014-11-10,28.0,5.0,8.0,54.0,6.0,3.0,21.0,119.0,411.0,3.0
321,022590,PIERIS PHARMACEUTICALS INC,2013-12-31,2023-12-31,0001583648,COMPN,"PIERIS PHARMACEUTICALS, INC.",2013-08-20,2024-05-17,17.0,0.0,6.0,36.0,0.0,5.0,17.0,180.0,603.0,3.0
322,022632,LANNETT CO INC,1999-06-30,2022-06-30,0000057725,COMPN,LANNETT CO INC,1995-11-13,2023-06-23,38.0,1.0,10.0,97.0,0.0,13.0,27.0,257.0,1244.0,3.0
323,022697,TRACON PHARMACEUTICALS INC,2012-12-31,2023-12-31,0001394319,COMPN,"TRACON PHARMACEUTICALS, INC.",2007-03-22,2024-05-14,10.0,0.0,0.0,29.0,0.0,1.0,20.0,165.0,691.0,3.0
324,022709,SPARK THERAPEUTICS INC,2013-12-31,2018-12-31,0001609351,COMPN,"SPARK THERAPEUTICS, INC.",2014-06-06,2020-02-14,6.0,0.0,1.0,15.0,0.0,0.0,9.0,58.0,466.0,3.0
325,022713,HTG MOLECULAR DIAGNOSTICS,2013-12-31,2022-12-31,0001169987,COMPN,"HTG MOLECULAR DIAGNOSTICS, INC",2002-03-01,2023-07-10,8.0,0.0,0.0,25.0,0.0,0.0,18.0,140.0,669.0,3.0
326,022734,BAXALTA INC,2010-12-31,2015-12-31,0001620546,COMPN,BAXALTA INC,2014-12-10,2019-02-07,1.0,0.0,0.0,3.0,0.0,0.0,1.0,15.0,282.0,3.0
327,022803,COHBAR INC,2015-12-31,2022-12-31,0001522602,COMPN,"COHBAR, INC.",2011-06-14,2023-12-27,12.0,0.0,3.0,26.0,0.0,0.0,12.0,98.0,387.0,3.0
328,023000,ABLE LABORATORIES INC,1989-06-30,2004-12-31,0000857171,COMPN,ABLE LABORATORIES INC,1996-05-07,2007-01-10,17.0,1.0,6.0,30.0,1.0,2.0,9.0,47.0,323.0,3.0
329,023098,ARCADIA BIOSCIENCES INC,2013-12-31,2023-12-31,0001469443,COMPN,"ARCADIA BIOSCIENCES, INC.",2009-08-04,2024-05-20,12.0,0.0,3.0,28.0,0.0,0.0,22.0,113.0,504.0,3.0
330,023241,OPGEN INC,2013-12-31,2022-12-31,0001293818,COMPN,OPGEN INC,2004-06-14,2024-06-03,10.0,1.0,0.0,28.0,1.0,0.0,41.0,187.0,707.0,3.0
331,023253,RADIENT PHARMACEUTICALS CORP,1999-12-31,2011-12-31,0000838879,COMPN,RADIENT PHARMACEUTICALS CORP,1996-05-15,2014-07-03,32.0,8.0,10.0,63.0,11.0,6.0,18.0,136.0,599.0,3.0
332,023297,XBIOTECH INC,2013-12-31,2023-12-31,0001626878,COMPN,XBIOTECH INC.,2014-12-10,2024-05-10,15.0,0.0,6.0,32.0,0.0,4.0,18.0,52.0,360.0,3.0
333,023335,ADURO BIOTECH INC,2013-12-31,2019-12-31,,NOLNK,,,,,,,,,,,,,0.0
334,023337,TYME TECHNOLOGIES INC,2014-12-31,2022-03-31,0001537917,COMPN,"TYME TECHNOLOGIES, INC.",2012-02-02,2022-09-30,16.0,0.0,6.0,43.0,9.0,0.0,9.0,116.0,618.0,3.0
335,023339,ZEVRA THERAPEUTICS INC,2013-12-31,2023-12-31,0001434647,COMPN,"ZEVRA THERAPEUTICS, INC.",2008-05-06,2024-06-04,10.0,0.0,1.0,29.0,1.0,0.0,38.0,183.0,717.0,3.0
336,023358,CIDARA THERAPEUTICS INC,2013-12-31,2023-12-31,0001610618,COMPN,"CIDARA THERAPEUTICS, INC.",2014-06-17,2024-06-03,10.0,1.0,0.0,32.0,0.0,4.0,21.0,131.0,601.0,3.0
337,023407,BLUEPRINT MEDICINES CORP,2013-12-31,2023-12-31,0001597264,COMPN,BLUEPRINT MEDICINES CORP,2014-01-17,2024-06-06,10.0,0.0,1.0,30.0,0.0,2.0,18.0,160.0,855.0,3.0
338,023521,COLUCID PHARMACEUTICALS INC,2013-12-31,2015-12-31,0001348649,COMPN,"COLUCID PHARMACEUTICALS, INC.",2005-12-30,2017-04-20,1.0,0.0,0.0,6.0,0.0,0.0,2.0,19.0,211.0,3.0
339,023555,COLLEGIUM PHARMACEUTICAL INC,2013-12-31,2023-12-31,0001267565,COMPN,"COLLEGIUM PHARMACEUTICAL, INC",2003-10-20,2024-06-05,9.0,0.0,0.0,30.0,0.0,2.0,19.0,96.0,670.0,3.0
340,023627,ATYR PHARMA INC,2013-12-31,2023-12-31,0001339970,COMPN,ATYR PHARMA INC,2005-09-23,2024-06-06,9.0,0.0,0.0,29.0,0.0,1.0,22.0,121.0,652.0,3.0
341,023799,APHTON CORP,1990-04-30,2005-12-31,0000840319,COMPN,APHTON CORP,1996-02-02,2010-07-22,20.0,1.0,9.0,38.0,1.0,9.0,13.0,75.0,284.0,3.0
342,023812,REGENERON PHARMACEUTICALS,1990-12-31,2023-12-31,0000872589,COMPN,"REGENERON PHARMACEUTICALS, INC.",1995-07-26,2024-06-06,32.0,0.0,4.0,84.0,0.0,0.0,60.0,284.0,2282.0,3.0
343,023813,VIRACTA THERAPEUTICS INC,2020-12-31,2023-12-31,0001061027,COMPN,"VIRACTA THERAPEUTICS, INC.",2002-08-07,2024-05-31,22.0,1.0,2.0,57.0,0.0,1.0,31.0,240.0,1151.0,3.0
344,023933,SIO GENE THERAPIES INC,2015-03-31,2022-03-31,0001636050,COMPN,SIO GENE THERAPIES INC.,2015-03-24,2023-04-25,7.0,0.0,0.0,24.0,0.0,0.0,17.0,110.0,466.0,3.0
345,023945,CEPHALON INC,1990-06-30,2010-12-31,0000873364,COMPN,CEPHALON INC,1994-02-14,2017-03-31,22.0,0.0,7.0,51.0,1.0,3.0,41.0,281.0,1268.0,3.0
346,023980,ASTRIA THERAPEUTICS INC,2013-12-31,2023-12-31,0001454789,COMPN,"ASTRIA THERAPEUTICS, INC.",2009-01-21,2024-06-06,10.0,0.0,1.0,27.0,0.0,0.0,21.0,74.0,506.0,3.0
347,024008,MEDIMMUNE INC,1990-12-31,2006-12-31,0000873591,COMPN,MEDIMMUNE INC /DE,1995-02-09,2007-08-09,15.0,0.0,4.0,40.0,0.0,7.0,12.0,166.0,714.0,3.0
348,024040,IONIS PHARMACEUTICALS INC,1990-12-31,2023-12-31,0000874015,COMPN,IONIS PHARMACEUTICALS INC,1996-06-12,2024-05-31,32.0,0.0,4.0,90.0,0.0,6.0,47.0,311.0,2221.0,3.0
349,024110,ICOS CORP,1990-12-31,2005-12-31,0000874294,COMPN,ICOS CORP,1996-05-08,2007-02-14,12.0,0.0,2.0,34.0,0.0,2.0,24.0,57.0,358.0,3.0
350,024177,SERES THERAPEUTICS INC,2013-12-31,2023-12-31,0001609809,COMPN,"SERES THERAPEUTICS, INC.",2014-06-09,2024-05-17,9.0,0.0,0.0,27.0,0.0,0.0,17.0,90.0,556.0,3.0
351,024179,GENELABS TECHNOLOGIES INC,1990-12-31,2007-12-31,0000874443,COMPN,GENELABS TECHNOLOGIES INC /CA,1996-06-12,2010-01-26,15.0,1.0,2.0,40.0,0.0,2.0,12.0,88.0,442.0,3.0
352,024191,MEDAREX INC,1990-12-31,2008-12-31,0000874255,COMPN,MEDAREX INC,1995-12-08,2014-10-02,15.0,0.0,2.0,44.0,2.0,2.0,15.0,136.0,668.0,3.0
353,024197,IDEXX LABS INC,1990-12-31,2023-12-31,0000874716,COMPN,IDEXX LABORATORIES INC /DE,1996-02-07,2024-05-31,29.0,0.0,1.0,86.0,0.0,2.0,47.0,181.0,1987.0,2.0
354,024220,COR THERAPEUTICS INC,1990-12-31,2000-12-31,0000874865,COMPN,COR THERAPEUTICS INC / DE,1994-02-14,2003-01-29,5.0,0.0,0.0,19.0,0.0,1.0,5.0,6.0,157.0,3.0
355,024344,VERTEX PHARMACEUTICALS INC,1990-12-31,2023-12-31,0000875320,COMPN,VERTEX PHARMACEUTICALS INC / MA,1995-02-15,2024-06-05,29.0,0.0,1.0,91.0,0.0,6.0,38.0,273.0,3267.0,3.0
356,024385,SYSTEMIX INC,1988-12-31,1995-12-31,0000876428,COMPN,SYSTEMIX INC /DE,1996-05-24,1997-02-19,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,19.0,3.0
357,024468,BIOGEN INC,1990-12-31,2023-12-31,0000714655,CUSIP,BIOGEN IDEC MA INC,1994-02-08,2018-02-27,18.0,0.0,8.0,32.0,0.0,2.0,11.0,23.0,249.0,3.0
358,024468,BIOGEN INC,1990-12-31,2023-12-31,0000875045,COMPN,BIOGEN INC.,1996-05-21,2024-05-03,33.0,1.0,4.0,89.0,1.0,4.0,114.0,271.0,2539.0,3.0
359,024473,SEPRACOR INC,1990-12-31,2008-12-31,0000877357,COMPN,SUNOVION PHARMACEUTICALS INC.,1994-12-01,2016-10-21,19.0,0.0,6.0,48.0,1.0,6.0,13.0,113.0,810.0,2.0
360,024506,PULMATRIX INC,2014-12-31,2023-12-31,0001574235,COMPN,"PULMATRIX, INC.",2013-05-24,2024-05-30,15.0,0.0,4.0,30.0,0.0,0.0,23.0,175.0,580.0,3.0
361,024515,VTV THERAPEUTICS INC,2013-12-31,2023-12-31,0001641489,COMPN,VTV THERAPEUTICS INC.,2015-05-14,2024-05-09,11.0,0.0,2.0,27.0,0.0,0.0,17.0,143.0,504.0,3.0
362,024523,CHIASMA INC,2013-12-31,2020-12-31,0001339469,COMPN,"CHIASMA, INC",2005-09-21,2022-02-15,6.0,0.0,0.0,18.0,0.0,0.0,15.0,68.0,370.0,3.0
363,024598,BIOCARDIA INC,2015-12-31,2023-12-31,0000925741,COMPN,"BIOCARDIA, INC.",1996-08-02,2024-05-30,38.0,4.0,6.0,94.0,3.0,8.0,28.0,195.0,932.0,3.0
364,024599,SPYRE THERAPEUTICS INC,2014-12-31,2023-12-31,0001636282,COMPN,"SPYRE THERAPEUTICS, INC.",2015-03-24,2024-05-30,9.0,0.0,1.0,25.0,0.0,0.0,12.0,142.0,630.0,3.0
365,024648,SYNVISTA THERAPEUTICS INC,1991-12-31,2007-12-31,0000878903,COMPN,"SYNVISTA THERAPEUTICS, INC.",1995-07-07,2009-03-19,20.0,0.0,8.0,38.0,0.0,0.0,14.0,121.0,470.0,3.0
366,024689,BRADLEY PHARMACEUTICL  -CL A,1990-12-31,2006-12-31,0000864268,COMPN,BRADLEY PHARMACEUTICALS INC,1996-02-14,2009-02-09,18.0,3.0,5.0,47.0,6.0,6.0,30.0,82.0,758.0,3.0
367,024699,IMCLONE SYSTEMS INC,1991-03-31,2007-12-31,0000765258,COMPN,IMCLONE SYSTEMS INC,1994-02-11,2008-12-10,16.0,1.0,3.0,46.0,1.0,6.0,19.0,164.0,822.0,3.0
368,024710,BIOSPECIFICS TECHNOLOGIES CP,1991-01-31,2019-12-31,0000875622,COMPN,BIOSPECIFICS TECHNOLOGIES CORP,1996-05-30,2021-02-16,38.0,11.0,4.0,87.0,17.0,2.0,27.0,329.0,923.0,3.0
369,024771,GENAERA CORP,1991-06-30,2008-12-31,0000880431,COMPN,GENAERA CORP,1994-02-14,2010-02-16,17.0,0.0,4.0,41.0,0.0,2.0,15.0,203.0,704.0,3.0
370,024781,GENTA INC,1990-12-31,2011-12-31,0000880643,COMPN,GENTA INC DE/,1996-02-02,2014-11-24,28.0,2.0,10.0,52.0,0.0,3.0,24.0,348.0,1022.0,3.0
371,024843,AMYLIN PHARMACEUTICALS INC,1990-12-31,2011-12-31,0000881464,COMPN,AMYLIN PHARMACEUTICALS INC,1995-10-06,2014-02-21,19.0,0.0,3.0,54.0,0.0,5.0,57.0,175.0,1823.0,3.0
372,024843,AMYLIN PHARMACEUTICALS INC,1990-12-31,2011-12-31,0000890465,CUSIP,NPS PHARMACEUTICALS INC,1996-02-06,2015-03-05,32.0,0.0,13.0,62.0,2.0,3.0,22.0,189.0,1575.0,3.0
373,024856,GILEAD SCIENCES INC,1991-03-31,2023-12-31,0000882095,COMPN,"GILEAD SCIENCES, INC.",1994-02-14,2024-05-09,32.0,0.0,4.0,87.0,0.0,2.0,52.0,295.0,2822.0,3.0
374,024878,PDL BIOPHARMA INC,1991-12-31,2019-12-31,0000882104,COMPN,"PDL BIOPHARMA, INC.",1994-02-14,2024-02-09,34.0,1.0,8.0,84.0,4.0,6.0,43.0,585.0,1789.0,3.0
375,024898,DUSA PHARMACEUTICALS INC,1992-12-31,2011-12-31,0000879993,COMPN,DUSA PHARMACEUTICALS INC,1996-08-12,2020-06-12,19.0,0.0,3.0,50.0,0.0,1.0,17.0,142.0,755.0,3.0
376,024907,SPATIALIGHT INC,1990-12-31,2006-12-31,0000881468,COMPN,SPATIALIGHT INC,1996-05-15,2014-12-12,33.0,3.0,19.0,49.0,0.0,13.0,13.0,67.0,398.0,3.0
377,024908,DURA PHARMACEUTICALS INC,1990-12-31,1999-12-31,0000882098,COMPN,DURA PHARMACEUTICALS INC,1995-02-09,2001-01-24,6.0,0.0,2.0,14.0,0.0,0.0,4.0,19.0,205.0,3.0
378,024966,GEOVAX LABS INC,1995-12-31,2023-12-31,0000832489,COMPN,"GEOVAX LABS, INC.",1996-08-13,2024-05-24,38.0,4.0,8.0,90.0,3.0,10.0,36.0,212.0,951.0,3.0
379,024996,LINEAGE CELL THERAPEUTICS IN,1991-06-30,2023-12-31,0000876343,COMPN,"LINEAGE CELL THERAPEUTICS, INC.",1996-04-17,2024-05-28,49.0,4.0,16.0,90.0,1.0,6.0,50.0,490.0,1703.0,3.0
380,025027,LIFEVANTAGE CORP,2010-06-30,2023-06-30,0000849146,COMPN,LIFEVANTAGE CORP,1996-05-16,2024-05-02,40.0,9.0,4.0,101.0,10.0,5.0,47.0,282.0,1136.0,3.0
381,025047,SCICLONE PHARMACEUTICALS LLC,1991-12-31,2016-12-31,0000880771,COMPN,SCICLONE PHARMACEUTICALS INC,1994-02-14,2018-02-09,30.0,3.0,6.0,73.0,1.0,7.0,50.0,173.0,1049.0,3.0
382,025077,AIMMUNE THERAPEUTICS INC,2013-12-31,2019-12-31,0001631650,COMPN,"AIMMUNE THERAPEUTICS, INC.",2015-03-24,2021-02-16,5.0,0.0,0.0,16.0,0.0,0.0,10.0,66.0,425.0,3.0
383,025089,1PM INDUSTRIES INC,1992-03-31,2017-02-28,0000859747,COMPN,1PM INDUSTRIES,1996-06-28,2024-02-26,32.0,8.0,9.0,75.0,17.0,12.0,8.0,130.0,432.0,3.0
384,025095,STEMCELLS INC,1991-12-31,2015-12-31,,NOLNK,,,,,,,,,,,,,0.0
385,025095,STEMCELLS INC,1991-12-31,2015-12-31,0000883975,COMPH,MICROBOT MEDICAL INC.,1994-02-14,2024-06-04,45.0,3.0,14.0,92.0,2.0,6.0,42.0,378.0,1302.0,2.0
386,025095,STEMCELLS INC,1991-12-31,2015-12-31,0000883975,FDATE,MICROBOT MEDICAL INC.,1994-02-14,2024-06-04,45.0,3.0,14.0,92.0,2.0,6.0,42.0,378.0,1302.0,2.0
387,025095,STEMCELLS INC,1991-12-31,2015-12-31,0000883975,CUSIP,MICROBOT MEDICAL INC.,1994-02-14,2024-06-04,45.0,3.0,14.0,92.0,2.0,6.0,42.0,378.0,1302.0,2.0
388,025121,SERAGEN INC,1988-12-31,1997-12-31,0000833299,COMPN,SERAGEN INC,1996-05-13,1998-08-21,4.0,1.0,1.0,12.0,0.0,5.0,4.0,16.0,48.0,3.0
389,025128,ZYNERBA PHARMACEUTICALS INC,2013-12-31,2022-12-31,0001621443,COMPN,"ZYNERBA PHARMACEUTICALS, INC.",2014-10-09,2024-02-08,8.0,0.0,0.0,25.0,0.0,0.0,29.0,145.0,526.0,3.0
390,025289,VBI VACCINES INC,2014-12-31,2023-12-31,0000764195,COMPN,VBI VACCINES INC/BC,2005-11-04,2024-05-29,10.0,1.0,1.0,22.0,0.0,0.0,19.0,241.0,842.0,3.0
391,025349,GLOBAL BLOOD THERAPEUTICS,2013-12-31,2021-12-31,0001629137,COMPN,"GLOBAL BLOOD THERAPEUTICS, INC.",2015-01-05,2023-02-14,7.0,0.0,0.0,23.0,0.0,1.0,31.0,133.0,736.0,3.0
392,025377,NEOS THERAPEUTICS INC,2013-12-31,2019-12-31,0001467652,COMPN,"NEOS THERAPEUTICS, INC.",2009-07-02,2021-03-30,5.0,0.0,0.0,17.0,0.0,0.0,12.0,70.0,375.0,3.0
393,025472,LIFEMD INC,2020-12-31,2023-12-31,0000948320,COMPN,"LIFEMD, INC.",2012-05-17,2024-05-31,13.0,1.0,0.0,40.0,3.0,3.0,14.0,121.0,442.0,3.0
394,025514,MZT HOLDINGS INC,1991-12-31,2006-12-31,0000884847,COMPN,"MZT HOLDINGS, INC.",1994-02-11,2012-05-10,13.0,0.0,2.0,36.0,0.0,1.0,13.0,118.0,468.0,3.0
395,025523,ARONEX PHARMACEUTICALS INC,1991-12-31,2000-12-31,0000854691,COMPN,ARONEX PHARMACEUTICALS INC,1996-05-10,2001-07-13,7.0,0.0,2.0,16.0,0.0,0.0,10.0,9.0,84.0,3.0
396,025623,HI TECH PHARMACAL CO INC,1992-04-30,2013-04-30,0000887497,COMPN,HI TECH PHARMACAL CO INC,1996-07-26,2014-04-28,24.0,4.0,1.0,58.0,1.0,2.0,21.0,91.0,677.0,3.0
397,025882,ULURU INC,2006-12-31,2017-12-31,0001168220,COMPN,ALTRAZEAL LIFE SCIENCES INC.,2002-03-08,2023-09-18,25.0,5.0,4.0,64.0,6.0,8.0,19.0,132.0,554.0,2.0
398,025904,ACLARIS THERAPEUTICS INC,2013-12-31,2023-12-31,0001557746,COMPN,"ACLARIS THERAPEUTICS, INC.",2012-09-10,2024-06-04,10.0,0.0,1.0,27.0,0.0,1.0,15.0,129.0,709.0,3.0
399,025906,QUESTCOR PHARMACEUTICALS INC,1992-07-31,2013-12-31,0000891288,COMPN,QUESTCOR PHARMACEUTICALS INC,1996-05-10,2014-08-25,31.0,1.0,11.0,63.0,0.0,8.0,28.0,210.0,1079.0,3.0
400,025924,NAVIDEA BIOPHARMACEUTICALS,1991-12-31,2022-12-31,0000810509,COMPN,"NAVIDEA BIOPHARMACEUTICALS, INC.",1995-02-07,2024-02-05,35.0,3.0,5.0,88.0,2.0,3.0,39.0,345.0,1465.0,3.0
401,025937,LIGAND PHARMACEUTICAL INC,1991-12-31,2023-12-31,0000886163,COMPN,LIGAND PHARMACEUTICALS INC,1994-09-13,2024-06-03,36.0,2.0,6.0,104.0,7.0,12.0,50.0,437.0,2054.0,3.0
402,025999,GYRE THERAPEUTICS INC,2015-12-31,2023-12-31,0001124105,COMPN,"GYRE THERAPEUTICS, INC.",2002-12-16,2024-05-30,20.0,0.0,2.0,56.0,0.0,1.0,48.0,283.0,1423.0,3.0
403,026081,KURA ONCOLOGY INC,2014-12-31,2023-12-31,0001422143,COMPN,"KURA ONCOLOGY, INC.",2008-02-01,2024-05-24,16.0,0.0,0.0,49.0,0.0,0.0,19.0,121.0,596.0,3.0
404,026094,MIRNA THERAPEUTICS INC,2012-12-31,2016-12-31,,NOLNK,,,,,,,,,,,,,0.0
405,026112,CYTOMX THERAPEUTICS INC,2013-12-31,2023-12-31,0001501989,COMPN,"CYTOMX THERAPEUTICS, INC.",2010-09-28,2024-05-22,12.0,0.0,3.0,26.0,0.0,0.0,16.0,111.0,652.0,3.0
406,026146,REGENXBIO INC,2013-12-31,2023-12-31,0001590877,COMPN,REGENXBIO INC.,2013-11-07,2024-06-04,9.0,0.0,0.0,27.0,0.0,1.0,18.0,90.0,632.0,3.0
407,026149,AVALO THERAPEUTICS INC,2013-12-31,2023-12-31,0001534120,COMPN,"AVALO THERAPEUTICS, INC.",2012-04-04,2024-06-06,12.0,0.0,3.0,28.0,0.0,2.0,19.0,170.0,927.0,3.0
408,026162,ANAPTYSBIO INC,2014-12-31,2023-12-31,0001370053,COMPN,"ANAPTYSBIO, INC",2006-07-06,2024-05-24,9.0,0.0,1.0,24.0,0.0,2.0,14.0,82.0,476.0,3.0
409,026197,DIMENSION THERAPEUTICS INC,2013-12-31,2016-12-31,0001592288,COMPN,"DIMENSION THERAPEUTICS, INC.",2013-11-18,2017-11-17,2.0,0.0,0.0,7.0,0.0,0.0,12.0,23.0,168.0,3.0
410,026269,MYOKARDIA INC,2013-12-31,2019-12-31,0001552451,COMPN,"MYOKARDIA, INC.",2012-07-05,2020-11-27,5.0,0.0,0.0,16.0,0.0,0.0,12.0,61.0,507.0,3.0
411,026336,PLX PHARMA INC,2016-12-31,2021-12-31,0001497504,COMPN,PLX PHARMA WINDDOWN CORP.,2010-07-30,2023-10-18,13.0,0.0,5.0,27.0,0.0,0.0,12.0,89.0,369.0,3.0
412,026341,VOYAGER THERAPEUTICS INC,2013-12-31,2023-12-31,0001640266,COMPN,"VOYAGER THERAPEUTICS, INC.",2015-04-23,2024-06-06,9.0,0.0,0.0,26.0,0.0,0.0,14.0,92.0,521.0,3.0
413,026349,AXSOME THERAPEUTICS INC,2013-12-31,2023-12-31,0001579428,COMPN,"AXSOME THERAPEUTICS, INC.",2013-06-19,2024-06-05,10.0,0.0,1.0,27.0,0.0,2.0,11.0,196.0,471.0,3.0
414,026356,ARTELO BIOSCIENCES INC,2016-08-31,2023-12-31,0001621221,COMPN,"ARTELO BIOSCIENCES, INC.",2014-10-08,2024-05-13,13.0,1.0,2.0,32.0,1.0,3.0,8.0,61.0,316.0,3.0
415,026359,APELLIS PHARMACEUTICALS,2015-12-31,2023-12-31,0001492422,COMPN,"APELLIS PHARMACEUTICALS, INC.",2010-05-21,2024-06-05,8.0,0.0,1.0,20.0,0.0,0.0,14.0,63.0,898.0,3.0
416,026528,EXAGEN INC,2017-12-31,2023-12-31,0001274737,COMPN,EXAGEN INC.,2003-12-29,2024-05-16,6.0,0.0,1.0,16.0,1.0,1.0,11.0,53.0,322.0,3.0
417,026579,BONE BIOLOGICS CORP,2019-12-31,2023-12-31,0001419554,COMPN,BONE BIOLOGICS CORP,2008-02-01,2024-05-14,19.0,2.0,1.0,55.0,5.0,0.0,11.0,82.0,396.0,3.0
418,026669,ONCOCYTE CORP,2013-12-31,2023-12-31,0001642380,COMPN,ONCOCYTE CORP,2015-05-14,2024-06-04,18.0,2.0,7.0,25.0,0.0,0.0,20.0,154.0,566.0,3.0
419,026790,SPRING BANK PHARMACEUTICALS,2014-12-31,2019-12-31,,NOLNK,,,,,,,,,,,,,0.0
420,026798,CLEARSIDE BIOMEDICAL INC,2014-12-31,2023-12-31,0001539029,COMPN,"CLEARSIDE BIOMEDICAL, INC.",2012-01-09,2024-05-15,8.0,0.0,0.0,24.0,0.0,0.0,15.0,98.0,485.0,3.0
421,026809,CERVOMED INC,2016-12-31,2023-12-31,0001053691,COMPN,CERVOMED INC.,1998-06-16,2024-06-06,38.0,9.0,9.0,85.0,18.0,8.0,34.0,242.0,836.0,3.0
422,026817,OUTLOOK THERAPEUTICS INC,2014-09-30,2023-09-30,0001649989,COMPN,"OUTLOOK THERAPEUTICS, INC.",2015-08-10,2024-05-28,13.0,0.0,5.0,25.0,0.0,0.0,12.0,124.0,671.0,3.0
423,026818,AVEXIS INC,2013-12-31,2017-12-31,0001652923,COMPN,"AVEXIS, INC.",2015-09-17,2018-06-11,4.0,0.0,1.0,7.0,0.0,0.0,1.0,44.0,260.0,3.0
424,026873,MOLECULIN BIOTECH INC,2015-12-31,2023-12-31,0001659617,COMPN,"MOLECULIN BIOTECH, INC.",2015-12-04,2024-05-16,10.0,1.0,1.0,28.0,2.0,1.0,17.0,275.0,561.0,3.0
425,026874,EDITAS MEDICINE INC,2013-12-31,2023-12-31,0001650664,COMPN,"EDITAS MEDICINE, INC.",2015-08-18,2024-06-06,9.0,0.0,0.0,26.0,0.0,1.0,18.0,100.0,586.0,3.0
426,026892,REATA PHARMACEUTICALS INC,2013-12-31,2022-12-31,0001358762,COMPN,REATA PHARMACEUTICALS INC,2006-03-27,2023-10-06,7.0,0.0,0.0,22.0,0.0,0.0,21.0,86.0,702.0,3.0
427,026895,CORVUS PHARMACEUTICALS INC,2014-12-31,2023-12-31,0001626971,COMPN,"CORVUS PHARMACEUTICALS, INC.",2014-12-08,2024-05-14,10.0,0.0,2.0,25.0,0.0,0.0,16.0,100.0,480.0,3.0
428,026922,PROTAGENIC THERAPEUTICS INC,2015-12-31,2023-12-31,0001022899,COMPN,"PROTAGENIC THERAPEUTICS, INC.\NEW",1996-10-22,2024-05-24,40.0,6.0,11.0,78.0,7.0,2.0,23.0,158.0,625.0,3.0
429,027046,EIGER BIOPHARMACEUTICALS INC,2015-12-31,2023-12-31,0001305253,COMPN,"EIGER BIOPHARMACEUTICALS, INC.",2004-10-05,2024-05-28,13.0,1.0,1.0,30.0,0.0,0.0,19.0,150.0,680.0,3.0
430,027155,INTELLIA THERAPEUTICS INC,2014-12-31,2023-12-31,0001652130,COMPN,"INTELLIA THERAPEUTICS, INC.",2015-09-03,2024-05-09,9.0,0.0,1.0,26.0,0.0,1.0,14.0,102.0,565.0,3.0
431,027198,PHASERX INC,2014-12-31,2016-12-31,0001429386,COMPN,"PHASERX, INC.",2008-03-06,2018-04-19,1.0,0.0,0.0,5.0,0.0,0.0,1.0,31.0,128.0,3.0
432,027338,APTEVO THERAPEUTICS INC,2014-12-31,2023-12-31,0001671584,COMPN,APTEVO THERAPEUTICS INC.,2016-04-15,2024-06-03,10.0,0.0,2.0,25.0,0.0,1.0,22.0,107.0,506.0,3.0
