Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Other,1-800-FLOWERS.COM INC,New York State Society of Certified Public Accountants (NYSSCPA),Eugene DeMark,2012,Curr,Independent Director (Brd) (SD),Member,Private,6,54786,1112878,Independent Director,Brd,SD,2012,,2012-01-12,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,BankUnited NA,Eugene DeMark,2012,2019,Independent Director (Brd) (SD),Lead Director (Brd) (SD),Private,6,1983576,1112878,Independent Director,Brd,SD,2012,2019,2012-01-12,,2012-11-01,2019-05-15,Quoted
Listed Org,1-800-FLOWERS.COM INC,MSG NETWORKS INC (Madison Square Garden Co prior to 10/2015) (De-listed 07/2021),Eugene DeMark,2015,2016,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1625238,1112878,Independent Director,Brd,SD,2015,2016,2012-01-12,,2015-09-30,2016-12-15,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,GrandBanks Capital Inc,Charley Lax,2001,2002,Director - SD (Brd) (SD),Managing General Partner (Brd) (ED),Private,6,599862,1299622,Director - SD,Brd,SD,2001,2002,2001-01-01,2002-06-25,2000-04-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Softbank Venture Capital,Charley Lax,2001,2002,Director - SD (Brd) (SD),General Partner (Non-Brd),Private,6,1250015,1299622,Director - SD,Brd,SD,2001,2002,2001-01-01,2002-06-25,1996-01-01,2004-12-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Flatiron Partners,Charley Lax,2001,2002,Director - SD (Brd) (SD),Co-Founder (Non-Brd),Private,6,381402,1299622,Director - SD,Brd,SD,2001,2002,2001-01-01,2002-06-25,1996-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,ZAGAT Survey LLC,John Boris,2006,2006,Various Positions (Non-Brd),Senior VP (Non-Brd),Private,6,126382,1199653,Various Positions,Non-Brd,,2006,2006,2004-01-01,2006-01-01,2006-01-01,2009-12-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,SCOTTS MIRACLE-GRO CO (Scotts Co prior to 03/2005),Adam Hanft,2019,Curr,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,6,27355,1057384,Independent Director,Brd,SD,2019,,2019-02-07,,2015-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,AgFunder Inc,Adam Hanft,2019,Curr,Independent Director (Brd) (SD),Senior Advisor (Non-Brd),Private,6,2394416,1057384,Independent Director,Brd,SD,2019,,2019-02-07,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Twill Inc (Happify Health) (Happify Inc prior to 03/2021),Adam Hanft,2019,2024,Independent Director (Brd) (SD),Advisor (Non-Brd),Private,6,2592588,1057384,Independent Director,Brd,SD,2019,2024,2019-02-07,,,2024-02-21,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Hi Bob Ltd (HiBob),Adam Hanft,2019,2020,Independent Director (Brd) (SD),Advisor (Non-Brd),Private,6,2537064,1057384,Independent Director,Brd,SD,2019,2020,2019-02-07,,2019-01-01,2020-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Hi Bob Limited,Adam Hanft,2019,Curr,Independent Director (Brd) (SD),Advisor (Non-Brd),Private,6,2585073,1057384,Independent Director,Brd,SD,2019,,2019-02-07,,2019-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Hanft Projects LLC,Adam Hanft,2019,Curr,Independent Director (Brd) (SD),CEO (Non-Brd),Private,6,2235460,1057384,Independent Director,Brd,SD,2019,,2019-02-07,,2010-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,AlienVault Inc (AT&T Cybersecurity),Adam Hanft,2019,Curr,Independent Director (Brd) (SD),Advisory Board Member (Non-Brd),Private,6,1793812,1057384,Independent Director,Brd,SD,2019,,2019-02-07,,2015-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Forge Health Inc (Formerly known as Strive Health),Adam Hanft,2023,Curr,Independent Director (Brd) (SD),Advisor (Non-Brd),Private,6,3261200,1057384,Independent Director,Brd,SD,2023,,2019-02-07,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018),Larry Zarin,2010,2013,Independent Director (Brd) (SD),Senior VP/Chief Marketing Officer (Non-Brd),Quoted,6,11414,879271,Independent Director,Brd,SD,2010,2013,2009-03-19,,2010-01-01,2013-07-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018),Larry Zarin,2009,2010,Independent Director (Brd) (SD),Senior VP - Marketing/Communications (Non-Brd),Quoted,6,11414,879271,Independent Director,Brd,SD,2009,2010,2009-03-19,,,2010-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Open Applications Group Inc,Arnie Leap,2013,Curr,Senior VP/Chief Information Officer (Non-Brd),Member,Private,6,483799,745422,Senior VP/Chief Information Officer,Non-Brd,,2013,,2013-12-16,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bayberry Advisors Inc,T Minetti,1999,2000,Senior VP - Corporate Development (Brd) (ED),MD (Brd) (ED),Private,6,631251,340891,Senior VP - Corporate Development,Brd,ED,1999,2000,1999-08-01,2000-09-18,1989-03-01,2000-09-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,American Sports Products Group Inc,T Minetti,1993,1994,Director - SD (Brd) (SD),Vice Chairman (Brd) (SD),Private,6,631253,340891,Director - SD,Brd,SD,1993,1994,1993-12-01,1999-08-01,1993-09-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Senior Resource Advisors LLC,T Minetti,2005,2005,Vice Chairman (Brd) (ED),MD (Brd) (ED),Private,6,887138,340891,Vice Chairman,Brd,ED,2005,2005,2000-09-18,2005-12-02,2005-01-01,2008-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bayberry Advisors Inc,T Minetti,1993,1999,Director - SD (Brd) (SD),MD (Brd) (ED),Private,6,631251,340891,Director - SD,Brd,SD,1993,1999,1993-12-01,1999-08-01,1989-03-01,2000-09-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,MISONIX INC (De-listed 10/2021),T Minetti,2003,2005,Vice Chairman (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,20819,340891,Vice Chairman,Brd,ED,2003,2005,2000-09-18,2005-12-02,2003-03-06,2016-12-15,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Columbia University,Len Elmore,2008,2009,Independent Director (Brd) (SD),Adjunct Professor (Non-Brd),Universities,6,60434,341596,Independent Director,Brd,SD,2008,2009,2002-10-01,,2008-08-01,2009-12-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Youth Basketball On-Line LLC,Len Elmore,2008,2010,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,1681595,341596,Independent Director,Brd,SD,2008,2010,2002-10-01,,2008-01-01,2010-05-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Institutional Capital Network Inc (iCapital),Lawrence Calcano,2014,2016,Independent Director (Brd) (SD),Managing Partner (Brd) (ED),Private,6,2078389,341863,Independent Director,Brd,SD,2014,2016,1999-08-01,2003-12-02,2014-01-01,2016-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Gallagher Walker Bianco & Plastaras,Jerry Gallagher,1993,1999,Various Positions (Non-Brd),Managing Partner (Non-Brd),Private,6,645722,341813,Various Positions,Non-Brd,,1993,1999,1988-01-01,1999-08-01,1993-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Goldman Sachs & Co LLC,Lawrence Calcano,1999,2002,Independent Director (Brd) (SD),Co-COO (Non-Brd),Private,6,534105,341863,Independent Director,Brd,SD,1999,2002,2006-12-01,2016-12-13,1997-01-01,2002-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Mary Lou Quinlan & Co LLC,Mary Quinlan,2002,2007,Independent Director (Brd) (SD),Founder (Non-Brd),Private,6,1821689,341598,Independent Director,Brd,SD,2002,2007,2002-05-01,2007-02-07,1999-01-01,,Quoted
NFP,1-800-FLOWERS.COM INC,National Basketball Retired Players Association,Len Elmore,2004,2005,Independent Director (Brd) (SD),President,Charities,6,949939,341596,Independent Director,Brd,SD,2004,2005,2002-10-01,,2005-02-01,2007-04-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,CISION LTD (Capitol Acquisition Corp III prior to 06/2017) (De-listed 01/2020),Lawrence Calcano,2015,2016,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,2352526,341863,Independent Director,Brd,SD,2015,2016,1999-08-01,2003-12-02,2015-10-14,2017-06-29,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Capitol Acquisition Corp III (Listed 10/2015),Lawrence Calcano,2015,2015,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,2352518,341863,Independent Director,Brd,SD,2015,2015,2006-12-01,2016-12-13,2015-09-01,2015-10-14,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Goldman Sachs & Co LLC,Lawrence Calcano,2002,2003,Independent Director (Brd) (SD),Co-Head (Non-Brd),Private,6,534105,341863,Independent Director,Brd,SD,2002,2003,2006-12-01,2016-12-13,2002-01-01,2007-06-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Winetasting Network (The),Peter Rice,2004,2005,Executive Officer (Non-Brd),Interim President (Non-Brd),Private,6,1486578,341811,Executive Officer,Non-Brd,,2004,2005,,2005-01-01,2004-01-01,2006-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Institutional Capital Network Inc (iCapital),Lawrence Calcano,2014,2016,Independent Director (Brd) (SD),Managing Partner (Brd) (ED),Private,6,2078389,341863,Independent Director,Brd,SD,2014,2016,2006-12-01,2016-12-13,2014-01-01,2016-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,CAPITOL ACQUISITION CORP (De-listed 10/2009),Lawrence Calcano,2007,2009,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1025519,341863,Independent Director,Brd,SD,2007,2009,1999-08-01,2003-12-02,2007-10-01,2009-10-28,Quoted
Other,1-800-FLOWERS.COM INC,Nassau Suffolk Trial Lawyers Association,Jerry Gallagher,2018,Curr,Senior VP - Business Affairs (Non-Brd),Member,Private,6,891470,341813,Senior VP - Business Affairs,Non-Brd,,2018,,2018-07-09,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bite Tech Inc,Lawrence Calcano,2012,2016,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,6,1631059,341863,Independent Director,Brd,SD,2012,2016,2006-12-01,2016-12-13,2012-06-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Capitol Acquisition Corp III (Listed 10/2015),Lawrence Calcano,2015,2015,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,2352518,341863,Independent Director,Brd,SD,2015,2015,1999-08-01,2003-12-02,2015-09-01,2015-10-14,Quoted
NFP,1-800-FLOWERS.COM INC,University of Maryland College Park Foundation Inc,Len Elmore,2002,2007,Independent Director (Brd) (SD),Trustee,Charities,6,461539,341596,Independent Director,Brd,SD,2002,2007,2002-10-01,,,,Quoted
NFP,1-800-FLOWERS.COM INC,Shenandoah National Park Trust,Peter Rice,2006,2007,Consultant (Non-Brd),Chairman,Charities,6,1375764,341811,Consultant,Non-Brd,,2006,2007,2006-01-01,2007-06-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,LEE ENTERPRISES INC,Len Elmore,2008,2020,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,18625,341596,Independent Director,Brd,SD,2008,2020,2002-10-01,,2008-02-20,2020-02-19,Quoted
Other,1-800-FLOWERS.COM INC,Nassau County Bar Association (NCBA),Jerry Gallagher,2018,Curr,Senior VP - Business Affairs (Non-Brd),Member,Private,6,607559,341813,Senior VP - Business Affairs,Non-Brd,,2018,,2018-07-09,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,LINDBLAD EXPEDITIONS HOLDINGS INC (Capitol Acquisition Corp II prior to 07/2015),Lawrence Calcano,2013,2015,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1951360,341863,Independent Director,Brd,SD,2013,2015,2006-12-01,2016-12-13,2013-05-10,2015-07-08,Quoted
NFP,1-800-FLOWERS.COM INC,Shenandoah National Park Trust,Peter Rice,2002,2005,Executive Officer (Non-Brd),Chairman,Charities,6,1375764,341811,Executive Officer,Non-Brd,,2002,2005,,2005-01-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,School of Professional Studies Columbia University,Len Elmore,2017,Curr,Independent Director (Brd) (SD),Senior Lecturer (Non-Brd),Universities,6,1260076,341596,Independent Director,Brd,SD,2017,,2002-10-01,,2017-07-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Senior Resource Advisors LLC,Peter Rice,2006,2007,Consultant (Non-Brd),Partner (Non-Brd),Private,6,887138,341811,Consultant,Non-Brd,,2006,2007,2006-01-01,2007-06-01,2005-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Calcano Capital Advisors Inc,Lawrence Calcano,2007,2010,Independent Director (Brd) (SD),CEO (Non-Brd),Private,6,1062307,341863,Independent Director,Brd,SD,2007,2010,2006-12-01,2016-12-13,2007-06-01,2010-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Fox Sports International,Len Elmore,2017,Curr,Independent Director (Brd) (SD),Analyst (Non-Brd),Private,6,43862,341596,Independent Director,Brd,SD,2017,,2002-10-01,,2017-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Grantham University Inc,Peter Rice,2006,2007,Consultant (Non-Brd),Director - SD (Brd) (SD),Universities,6,857856,341811,Consultant,Non-Brd,,2006,2007,2006-01-01,2007-06-01,2005-01-01,2008-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Knight Commission on Intercollegiate Athletics,Len Elmore,2003,2021,Independent Director (Brd) (SD),Commissioner,Private,6,945130,341596,Independent Director,Brd,SD,2003,2021,2002-10-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bite Tech Inc,Lawrence Calcano,2010,2012,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,6,1631059,341863,Independent Director,Brd,SD,2010,2012,2006-12-01,2016-12-13,2010-01-01,2012-06-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Youth Basketball On-Line LLC,Len Elmore,2010,2012,Independent Director (Brd) (SD),CEO (Non-Brd),Private,6,1681595,341596,Independent Director,Brd,SD,2010,2012,2002-10-01,,2010-05-01,2012-02-01,Quoted
Other,1-800-FLOWERS.COM INC,Queens County Bar Association (QCBA),Jerry Gallagher,2018,Curr,Senior VP - Business Affairs (Non-Brd),Member,Private,6,560046,341813,Senior VP - Business Affairs,Non-Brd,,2018,,2018-07-09,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Gallagher Walker Bianco & Plastaras,Jerry Gallagher,1999,2018,Senior VP/General Counsel/Corporate Secretary (Non-Brd),Managing Partner (Non-Brd),Private,6,645722,341813,Senior VP/General Counsel/Corporate Secretary,Non-Brd,,1999,2018,1999-08-01,2018-07-09,1993-01-01,,Quoted
Listed Org,1-800-FLOWERS.COM INC,BYRNA TECHNOLOGIES INC (Security Devices International Inc prior to 03/2020),Len Elmore,2021,Curr,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1988180,341596,Independent Director,Brd,SD,2021,,2002-10-01,,2021-12-02,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,CBS Sports Inc,Len Elmore,2002,Curr,Independent Director (Brd) (SD),Analyst (Non-Brd),Private,6,483358,341596,Independent Director,Brd,SD,2002,,2002-10-01,,1997-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,ESPN Inc,Len Elmore,2002,2016,Independent Director (Brd) (SD),Analyst (Non-Brd),Private,6,257112,341596,Independent Director,Brd,SD,2002,2016,2002-10-01,,1997-01-01,2016-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Capitol Acquisition Corp II (Listed 05/2013),Lawrence Calcano,2013,2013,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,1951359,341863,Independent Director,Brd,SD,2013,2013,1999-08-01,2003-12-02,2013-03-01,2013-05-10,Quoted
Other,1-800-FLOWERS.COM INC,Vibrant Emotional Health (Mental Health Association of New York City (MHA-NYC) prior to 06/2018),Lawrence Calcano,2012,2016,Independent Director (Brd) (SD),Director - SD,Private,6,941992,341863,Independent Director,Brd,SD,2012,2016,2006-12-01,2016-12-13,,,Quoted
Other,1-800-FLOWERS.COM INC,New York State Bar Association (NYSBA),Jerry Gallagher,2009,2018,Senior VP/General Counsel/Corporate Secretary (Non-Brd),Member,Private,6,256477,341813,Senior VP/General Counsel/Corporate Secretary,Non-Brd,,2009,2018,1999-08-01,2018-07-09,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Capitol Acquisition Corp II (Listed 05/2013),Lawrence Calcano,2013,2013,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,1951359,341863,Independent Director,Brd,SD,2013,2013,2006-12-01,2016-12-13,2013-03-01,2013-05-10,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Goldman Sachs & Co LLC,Lawrence Calcano,2002,2003,Independent Director (Brd) (SD),Co-Head (Non-Brd),Private,6,534105,341863,Independent Director,Brd,SD,2002,2003,1999-08-01,2003-12-02,2002-01-01,2007-06-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Ihoops.com Inc,Len Elmore,2009,2012,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,2486161,341596,Independent Director,Brd,SD,2009,2012,2002-10-01,,2009-01-01,2012-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Institutional Capital Network Inc (iCapital),Lawrence Calcano,2016,2016,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,2078389,341863,Independent Director,Brd,SD,2016,2016,2006-12-01,2016-12-13,2016-01-01,2020-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Goldman Sachs & Co LLC,Lawrence Calcano,2006,2007,Independent Director (Brd) (SD),Co-Head (Non-Brd),Private,6,534105,341863,Independent Director,Brd,SD,2006,2007,2006-12-01,2016-12-13,2002-01-01,2007-06-01,Quoted
Other,1-800-FLOWERS.COM INC,New York State Bar Association (NYSBA),Jerry Gallagher,2018,Curr,Senior VP - Business Affairs (Non-Brd),Member,Private,6,256477,341813,Senior VP - Business Affairs,Non-Brd,,2018,,2018-07-09,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,I1 Biometrics Inc,Lawrence Calcano,2012,2014,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,1951367,341863,Independent Director,Brd,SD,2012,2014,1999-08-01,2003-12-02,2012-06-01,2014-04-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Just Ask a Woman Inc,Mary Quinlan,2002,2007,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,631206,341598,Independent Director,Brd,SD,2002,2007,2002-05-01,2007-02-07,1999-01-01,2009-10-01,Quoted
Other,1-800-FLOWERS.COM INC,Knight Commission on Intercollegiate Athletics,Len Elmore,2021,Curr,Independent Director (Brd) (SD),Co-Chair,Private,6,945130,341596,Independent Director,Brd,SD,2021,,2002-10-01,,,,Quoted
Other,1-800-FLOWERS.COM INC,International Trademark Association (INTA),Jerry Gallagher,2018,Curr,Senior VP - Business Affairs (Non-Brd),Member,Clubs,6,118162,341813,Senior VP - Business Affairs,Non-Brd,,2018,,2018-07-09,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bite Tech Inc,Lawrence Calcano,2010,2012,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,6,1631059,341863,Independent Director,Brd,SD,2010,2012,1999-08-01,2003-12-02,2010-01-01,2012-06-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,LINDBLAD EXPEDITIONS HOLDINGS INC (Capitol Acquisition Corp II prior to 07/2015),Lawrence Calcano,2013,2015,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1951360,341863,Independent Director,Brd,SD,2013,2015,1999-08-01,2003-12-02,2013-05-10,2015-07-08,Quoted
Other,1-800-FLOWERS.COM INC,Nassau County Bar Association (NCBA),Jerry Gallagher,2008,2018,Senior VP/General Counsel/Corporate Secretary (Non-Brd),Member,Private,6,607559,341813,Senior VP/General Counsel/Corporate Secretary,Non-Brd,,2008,2018,1999-08-01,2018-07-09,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Goldman Sachs & Co LLC,Lawrence Calcano,1999,2002,Independent Director (Brd) (SD),Co-COO (Non-Brd),Private,6,534105,341863,Independent Director,Brd,SD,1999,2002,1999-08-01,2003-12-02,1997-01-01,2002-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Sports Lawyers Association,Len Elmore,2002,2007,Independent Director (Brd) (SD),Director - SD,Clubs,6,591762,341596,Independent Director,Brd,SD,2002,2007,2002-10-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bite Tech Inc,Lawrence Calcano,2012,2016,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,6,1631059,341863,Independent Director,Brd,SD,2012,2016,1999-08-01,2003-12-02,2012-06-01,,Quoted
Other,1-800-FLOWERS.COM INC,Vibrant Emotional Health (Mental Health Association of New York City (MHA-NYC) prior to 06/2018),Lawrence Calcano,2012,2016,Independent Director (Brd) (SD),Director - SD,Private,6,941992,341863,Independent Director,Brd,SD,2012,2016,1999-08-01,2003-12-02,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Gallagher Walker Bianco & Plastaras,Jerry Gallagher,2018,Curr,Senior VP - Business Affairs (Non-Brd),Managing Partner (Non-Brd),Private,6,645722,341813,Senior VP - Business Affairs,Non-Brd,,2018,,2018-07-09,,1993-01-01,,Quoted
Other,1-800-FLOWERS.COM INC,Montpelier Foundation,Peter Rice,2006,2007,Consultant (Non-Brd),Trustee,Private,6,461741,341811,Consultant,Non-Brd,,2006,2007,2006-01-01,2007-06-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,CAPITOL ACQUISITION CORP (De-listed 10/2009),Lawrence Calcano,2007,2009,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1025519,341863,Independent Director,Brd,SD,2007,2009,2006-12-01,2016-12-13,2007-10-01,2009-10-28,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,BloomNet Inc,Vinnie McVeigh,2007,2018,Division Senior VP (Non-Brd),Senior VP (Non-Brd),Private,6,947020,341837,Division Senior VP,Non-Brd,,2007,2018,2000-10-01,2018-12-01,2007-07-17,2018-12-01,Quoted
NFP,1-800-FLOWERS.COM INC,Partnership for Drug-Free Kids (Partnership for a Drug-Free America prior to 10/2010),Mary Quinlan,2006,2007,Independent Director (Brd) (SD),Director - SD,Charities,6,850026,341598,Independent Director,Brd,SD,2006,2007,2002-05-01,2007-02-07,,,Quoted
NFP,1-800-FLOWERS.COM INC,National Basketball Retired Players Association,Len Elmore,2005,2007,Independent Director (Brd) (SD),President (Brd) (ED),Charities,6,949939,341596,Independent Director,Brd,SD,2005,2007,2002-10-01,,2005-02-01,2007-04-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,CISION LTD (Capitol Acquisition Corp III prior to 06/2017) (De-listed 01/2020),Lawrence Calcano,2015,2016,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,2352526,341863,Independent Director,Brd,SD,2015,2016,2006-12-01,2016-12-13,2015-10-14,2017-06-29,Quoted
Other,1-800-FLOWERS.COM INC,Nassau Suffolk Trial Lawyers Association,Jerry Gallagher,2008,2018,Senior VP/General Counsel/Corporate Secretary (Non-Brd),Member,Private,6,891470,341813,Senior VP/General Counsel/Corporate Secretary,Non-Brd,,2008,2018,1999-08-01,2018-07-09,,,Quoted
Other,1-800-FLOWERS.COM INC,Shirley Povich School of Sports Journalism (The),Len Elmore,2020,Curr,Independent Director (Brd) (SD),Advisor,Clubs,6,2815361,341596,Independent Director,Brd,SD,2020,,2002-10-01,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Fox Sports Networks LLC,Len Elmore,2017,Curr,Independent Director (Brd) (SD),Analyst (Non-Brd),Private,6,853243,341596,Independent Director,Brd,SD,2017,,2002-10-01,,2017-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Goldman Sachs & Co LLC,Lawrence Calcano,2006,2007,Independent Director (Brd) (SD),Co-Head (Non-Brd),Private,6,534105,341863,Independent Director,Brd,SD,2006,2007,1999-08-01,2003-12-02,2002-01-01,2007-06-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,ESPN MediaZone,Len Elmore,2002,2016,Independent Director (Brd) (SD),Commentator (Non-Brd),Private,6,1820541,341596,Independent Director,Brd,SD,2002,2016,2002-10-01,,1985-01-01,2016-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Queens County Bar Association (QCBA),Jerry Gallagher,2008,2018,Senior VP/General Counsel/Corporate Secretary (Non-Brd),Member,Private,6,560046,341813,Senior VP/General Counsel/Corporate Secretary,Non-Brd,,2008,2018,1999-08-01,2018-07-09,,,Quoted
NFP,1-800-FLOWERS.COM INC,National Basketball Retired Players Association,Len Elmore,2007,2008,Independent Director (Brd) (SD),Interim CEO (Non-Brd),Charities,6,949939,341596,Independent Director,Brd,SD,2007,2008,2002-10-01,,2007-04-01,2008-07-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Calcano Capital Advisors Inc,Lawrence Calcano,2007,2010,Independent Director (Brd) (SD),CEO (Non-Brd),Private,6,1062307,341863,Independent Director,Brd,SD,2007,2010,1999-08-01,2003-12-02,2007-06-01,2010-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Montpelier Foundation,Peter Rice,2002,2005,Executive Officer (Non-Brd),Trustee,Private,6,461741,341811,Executive Officer,Non-Brd,,2002,2005,,2005-01-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Test University Inc,Len Elmore,2002,2004,Independent Director (Brd) (SD),President/CEO (Brd) (ED),Private,6,1674092,341596,Independent Director,Brd,SD,2002,2004,2002-10-01,,2001-09-01,2004-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,MOD Systems Inc,Lawrence Calcano,2008,2008,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,884781,341863,Independent Director,Brd,SD,2008,2008,2006-12-01,2016-12-13,2008-03-31,2008-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Institutional Capital Network Inc (iCapital),Lawrence Calcano,2016,2016,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,2078389,341863,Independent Director,Brd,SD,2016,2016,1999-08-01,2003-12-02,2016-01-01,2020-01-01,Quoted
Other,1-800-FLOWERS.COM INC,International Trademark Association (INTA),Jerry Gallagher,2009,2018,Senior VP/General Counsel/Corporate Secretary (Non-Brd),Member,Clubs,6,118162,341813,Senior VP/General Counsel/Corporate Secretary,Non-Brd,,2009,2018,1999-08-01,2018-07-09,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,I1 Biometrics Inc,Lawrence Calcano,2012,2014,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,1951367,341863,Independent Director,Brd,SD,2012,2014,2006-12-01,2016-12-13,2012-06-01,2014-04-01,Quoted
